"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2024","95,800","96,300","100,200","94,800","1.05M","-0.52%"
"03/26/2024","96,300","95,700","96,600","95,600","735.40K","0.63%"
"03/25/2024","95,700","96,400","96,900","94,100","1.37M","-0.73%"
"03/22/2024","96,400","95,300","96,800","95,200","1.84M","1.26%"
"03/21/2024","95,200","94,000","95,500","94,000","1.45M","2.15%"
"03/20/2024","93,200","92,500","94,100","92,500","897.70K","0.76%"
"03/19/2024","92,500","92,500","93,500","92,500","868.50K","-0.54%"
"03/18/2024","93,000","94,300","94,500","92,500","1.84M","-1.06%"
"03/15/2024","94,000","95,000","95,000","93,900","2.30M","-1.05%"
"03/14/2024","95,000","96,000","96,100","94,600","2.32M","-1.04%"
"03/13/2024","96,000","94,900","96,500","94,300","3.12M","1.69%"
"03/12/2024","94,400","94,100","94,900","94,000","1.11M","0.32%"
"03/11/2024","94,100","95,100","96,000","94,100","1.84M","-1.05%"
"03/08/2024","95,100","95,900","96,500","95,100","2.23M","-0.73%"
"03/07/2024","95,800","95,900","97,400","95,500","2.36M","-0.21%"
"03/06/2024","96,000","95,500","96,800","95,400","1.32M","0.52%"
"03/05/2024","95,500","96,600","96,600","95,200","1.36M","-0.52%"
"03/04/2024","96,000","98,000","98,000","95,600","1.64M","-1.34%"
"03/01/2024","97,300","98,200","98,200","94,900","2.38M","0.00%"
"02/29/2024","97,300","98,500","100,500","97,300","1.90M","-0.10%"
"02/28/2024","97,400","91,000","97,400","90,400","4.22M","6.92%"
"02/27/2024","91,100","89,600","91,200","89,100","1.60M","1.79%"
"02/26/2024","89,500","88,900","90,000","88,900","722.00K","-0.11%"
"02/23/2024","89,600","89,500","91,400","88,900","1.80M","0.11%"
"02/22/2024","89,500","90,600","91,000","89,500","1.22M","-1.86%"
"02/21/2024","91,200","91,700","91,700","90,500","1.37M","-0.11%"
"02/20/2024","91,300","90,100","91,400","89,400","1.40M","1.22%"
"02/19/2024","90,200","89,900","90,500","89,300","1.05M","0.67%"
"02/16/2024","89,600","89,900","90,200","89,500","734.10K","-0.33%"
"02/15/2024","89,900","90,000","90,700","89,100","1.05M","-0.11%"
"02/07/2024","90,000","90,000","90,800","89,300","1.37M","0.56%"
"02/06/2024","89,500","90,300","90,600","89,100","1.35M","-0.56%"
"02/05/2024","90,000","90,200","90,600","89,400","1.95M","-0.33%"
"02/02/2024","90,300","89,100","90,500","89,100","733.00K","0.56%"
"02/01/2024","89,800","88,000","90,200","88,000","598.10K","1.47%"
"01/31/2024","88,500","90,600","90,600","88,500","945.60K","-2.75%"
"01/30/2024","91,000","91,200","91,200","90,100","888.60K","-0.22%"
"01/29/2024","91,200","91,800","92,000","90,900","730.50K","-0.87%"
"01/26/2024","92,000","91,600","92,000","91,400","953.10K","1.10%"
"01/25/2024","91,000","91,100","91,600","90,700","503.30K","-0.11%"
"01/24/2024","91,100","91,600","92,000","90,900","744.70K","-0.44%"
"01/23/2024","91,500","92,100","92,400","90,400","1.26M","-0.54%"
"01/22/2024","92,000","93,500","93,500","92,000","1.05M","-0.65%"
"01/19/2024","92,600","91,000","93,000","90,400","1.47M","1.65%"
"01/18/2024","91,100","90,900","91,200","90,000","1.42M","0.22%"
"01/17/2024","90,900","89,000","91,000","89,000","1.58M","1.00%"
"01/16/2024","90,000","89,000","90,100","88,900","1.37M","0.00%"
"01/15/2024","90,000","89,000","90,100","88,900","1.91M","1.47%"
"01/12/2024","88,700","88,100","89,500","87,400","1.91M","-0.67%"
"01/11/2024","89,300","89,500","90,000","88,600","1.49M","-0.22%"
"01/10/2024","89,500","87,800","89,500","87,200","1.80M","1.94%"
"01/09/2024","87,800","86,800","87,900","86,800","1.93M","1.15%"
"01/08/2024","86,800","86,300","86,800","86,300","1.61M","0.70%"
"01/05/2024","86,200","85,900","86,200","85,700","1.18M","0.35%"
"01/04/2024","85,900","84,500","86,200","84,000","2.66M","1.66%"
"01/03/2024","84,500","83,500","84,500","82,800","1.37M","1.20%"
"01/02/2024","83,500","82,900","83,600","82,200","1.79M","3.99%"
"12/29/2023","80,300","83,500","83,900","80,300","1.62M","-3.02%"
"12/28/2023","82,800","82,700","83,100","82,400","703.20K","0.12%"
"12/27/2023","82,700","82,900","83,200","82,500","899.60K","-0.12%"
"12/26/2023","82,800","82,000","82,800","82,000","971.20K","1.22%"
"12/25/2023","81,800","80,900","81,800","80,700","1.30M","1.11%"
"12/22/2023","80,900","80,900","81,100","80,400","1.58M","0.00%"
"12/21/2023","80,900","81,000","81,000","80,300","2.03M","-0.25%"
"12/20/2023","81,100","81,200","81,300","80,500","1.87M","-0.12%"
"12/19/2023","81,200","81,500","81,500","80,100","1.96M","-0.37%"
"12/18/2023","81,500","82,800","82,900","81,500","1.80M","-0.85%"
"12/15/2023","82,200","84,000","84,400","82,200","2.53M","-2.61%"
"12/14/2023","84,400","84,000","84,500","84,000","840.60K","0.84%"
"12/13/2023","83,700","84,200","84,500","83,700","1.15M","-0.59%"
"12/12/2023","84,200","84,700","84,700","84,000","1.01M","0.00%"
"12/11/2023","84,200","85,000","85,300","84,100","1.40M","-0.94%"
"12/08/2023","85,000","85,200","85,500","85,000","1.18M","-0.23%"
"12/07/2023","85,200","85,700","86,000","85,000","992.30K","-0.81%"
"12/06/2023","85,900","85,300","86,000","85,000","638.00K","0.59%"
"12/05/2023","85,400","86,000","86,100","84,800","992.80K","-0.70%"
"12/04/2023","86,000","85,400","86,200","84,800","888.10K","1.18%"
"12/01/2023","85,000","84,900","85,000","84,100","714.70K","0.35%"
